"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Order","Canceled","","2026-06-17T08:31:37.422Z","","","","","","KXXRP15M-26JUN170445-45","6d200f2d-faeb-4f83-9537-2770bffab75d","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:36.546Z","","","","","","KXSOL15M-26JUN170445-45","39215cd2-3d15-46b8-b7cb-672cc4a83bc0","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:36.437Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:36.433Z","","","","","","KXXRP15M-26JUN170445-45","6d200f2d-faeb-4f83-9537-2770bffab75d","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:35.437Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:35.427Z","","","","","","KXXRP15M-26JUN170445-45","6d200f2d-faeb-4f83-9537-2770bffab75d","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:34.438Z","","","","","","KXXRP15M-26JUN170445-45","6d200f2d-faeb-4f83-9537-2770bffab75d","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:34.427Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:33.877Z","","","","","","KXETH15M-26JUN170445-45","4e1c4c93-25da-430d-9c17-4766ff7afb81","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-06-17T08:31:33.822Z","","","","","","KXETH15M-26JUN170445-45","4e1c4c93-25da-430d-9c17-4766ff7afb81","2","0","","","","","","","","","","","",""
"Trade","","2","2026-06-17T08:31:33.822Z","4:31am EDT","","","0.00","","KXETH15M-26JUN170445-45","4e1c4c93-25da-430d-9c17-4766ff7afb81","","","Yes","Taker","6.4","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:33.813Z","","","","","","KXXRP15M-26JUN170445-45","6d200f2d-faeb-4f83-9537-2770bffab75d","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-06-17T08:31:33.556Z","","","","","","KXBNB15M-26JUN170445-45","09a6a54d-e1e6-4165-847e-84ca7c5e56ec","5","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:33.429Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:32.533Z","","","","","","KXDOGE15M-26JUN170445-45","b15d6ea9-6b61-40ed-b643-1faf2cbc7468","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-06-17T08:31:32.431Z","","","","","","KXBNB15M-26JUN170445-45","09a6a54d-e1e6-4165-847e-84ca7c5e56ec","5","0","","","","","","","","","","","",""
"Trade","","5","2026-06-17T08:31:32.431Z","4:31am EDT","","","0.06","","KXBNB15M-26JUN170445-45","09a6a54d-e1e6-4165-847e-84ca7c5e56ec","","","Yes","Taker","26","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:32.428Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:31.714Z","","","","","","KXSOL15M-26JUN170445-45","39215cd2-3d15-46b8-b7cb-672cc4a83bc0","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:31.706Z","","","","","","KXHYPE15M-26JUN170445-45","69105cb1-b803-4e7c-a860-22bc0515a36d","0","0","","","","","","","","","","","",""
"Trade","","2","2026-06-17T08:31:31.689Z","4:31am EDT","","","0.00","","KXDOGE15M-26JUN170445-45","b15d6ea9-6b61-40ed-b643-1faf2cbc7468","","","Yes","Maker","15","","","","","","","","",""
"Order","Filled","","2026-06-17T08:31:31.656Z","","","","","","KXSOL15M-26JUN170445-45","39215cd2-3d15-46b8-b7cb-672cc4a83bc0","2","0","","","","","","","","","","","",""
"Trade","","2","2026-06-17T08:31:31.656Z","4:31am EDT","","","0.01","","KXSOL15M-26JUN170445-45","39215cd2-3d15-46b8-b7cb-672cc4a83bc0","","","Yes","Taker","11","","","","","","","","",""
